stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
207,,Trilokpuri Sanjay Lake,,28.613506,77.308678,,,0,,,0,
208,,East Vinod Nagar - Mayur Vihar-II,,28.620052,77.305588,,,0,,,0,
209,,Mandawali - West Vinod Nagar,,28.624861,77.304146,,,0,,,0,
210,,IP Extension,,28.631599,77.310898,,,0,,,0,
211,,Karkarduma Court,,28.649473,77.295341,,,0,,,0,
212,,Krishna Nagar,,28.65782,77.290306,,,0,,,0,
213,,East Azad Nagar,,28.665043,77.284599,,,0,,,0,
214,,Jafrabad,,28.682943,77.27507,,,0,,,0,
215,,Maujpur - Babarpur,,28.692057,77.280922,,,0,,,0,
216,,Gokulpuri,,28.703009,77.286301,,,0,,,0,
217,,Johri Enclave,,28.713297,77.290154,,,0,,,0,
218,,Shiv Vihar,,28.721863,77.289635,,,0,,,0,
219,,Sant Surdas (Sihi),,28.354666,77.316261,,,0,,,0,
220,,Raja Nahar Singh,,28.339899,77.331657,,,0,,,0,
221,,Vinobapuri,,28.566179,77.249367,,,0,,,0,
222,,Ashram,,28.576065,77.25753,,,0,,,0,
223,,Sarai Kale Khan - Nizamuddin,,28.5889,77.253189,,,0,,,0,
224,,Mayur Vihar Pocket 1,,28.606598,77.296326,,,0,,,0,
225,,Shaheed Sthal (New Bus Adda),,28.670177,77.416031,,,0,,,0,
226,,Hindon River,,28.673508,77.40654,,,0,,,0,
227,,Arthala,,28.6772,77.391876,,,0,,,0,
228,,Mohan Nagar,,28.67856,77.384209,,,0,,,0,
229,,Shyam Park,,28.678217,77.370911,,,0,,,0,
230,,Major Mohit Sharma Rajender Nagar,,28.678095,77.359528,,,0,,,0,
231,,Raj Bagh,,28.677122,77.346466,,,0,,,0,
232,,Shaheed Nagar,,28.676615,77.333809,,,0,,,0,
233,,Noida Sec-34,,28.580229,77.363518,,,0,,,0,
234,,Noida Sec-52,,28.586849,77.372749,,,0,,,0,
235,,Noida Sec-61,,28.597677,77.372368,,,0,,,0,
236,,Noida Sec-59,,28.609089,77.372955,,,0,,,0,
237,,Noida Sec-62,,28.616991,77.373611,,,0,,,0,
238,,Noida Electronic City,,28.628685,77.375229,,,0,,,0,
239,,Nangli,,28.61722,77.010345,,,0,,,0,
240,,Najafgarh,,28.613316,76.986259,,,0,,,0,
241,,Dhansa Bus Stand,,28.611858,76.975426,,,0,,,0,
